Date,Close,Volume,log_return,rsi_14,macd_norm,macd_signal,dist_sma_10,dist_sma_20,dist_sma_50,dist_sma_200,bb_position,volatility_5,volatility_10,volatility_20,vol_of_vol,return_streak,day_of_week,month,return_lag_1,return_lag_2,return_lag_3,return_lag_5,target
2019-02-19,2779.760009765625,3535270000,0.0014976213265920058,0.8210513328136304,0.014614117620504904,0.013023640775554332,0.014811316740557776,0.02818923780092003,0.06205626254117572,0.012442538292147361,0.90542002555987,0.006511103685672099,0.006464552617715559,0.007395772176415272,0.0033749330635778835,0.4,0.25,0.09090909090909091,0.010820004664957538,-0.0026551633836986214,0.0030194315937109753,0.0007088518038183947,1.0
2019-02-20,2784.699951171875,3904830000,0.00177553356074094,0.7854585895098086,0.01498537466764172,0.01341598755397181,0.014873392216905548,0.027132848810334138,0.06322260846234225,0.013955606974941972,0.8892776093939513,0.004920144973872092,0.006394459473207974,0.006333190923789104,0.002935452137022756,0.6,0.5,0.09090909090909091,0.0014976213265920058,0.010820004664957538,-0.0026551633836986214,0.012807852902838604,0.0
2019-02-21,2774.8798828125,3598260000,-0.0035326693258413886,0.7102538589401803,0.01489700570487832,0.013712191184153113,0.009702254730645773,0.020946633225168976,0.0583272560032879,0.010174969755764525,0.8090724709402025,0.005689874705883573,0.006496130590713865,0.006489699462075332,0.0024343558027177894,-0.2,0.75,0.09090909090909091,0.00177553356074094,0.0014976213265920058,0.010820004664957538,0.0030194315937109753,1.0
2019-02-22,2792.669921875,3429350000,0.006390638694710404,0.7344836798683596,0.015031513435339022,0.013976055634390295,0.012982781116285204,0.02465814342336424,0.06385488255338498,0.01642921661981911,0.8707077391260357,0.005438744137312373,0.005350798442547481,0.006539997295108082,0.002006813797525643,0.2,1.0,0.09090909090909091,-0.0035326693258413886,0.00177553356074094,0.0014976213265920058,-0.0026551633836986214,1.0
2019-02-25,2796.110107421875,3860260000,0.0012311044497517107,0.7110438969917101,0.015119590818753522,0.01420476267126294,0.010995080970276589,0.023454181980827715,0.06387394626999093,0.01745137034236992,0.8514681234952611,0.0035139201903890355,0.005325087693914539,0.006407560202739936,0.0019402335181691007,0.4,0.0,0.09090909090909091,0.006390638694710404,-0.0035326693258413886,0.00177553356074094,0.010820004664957538,0.0
2019-02-26,2793.89990234375,3676200000,-0.0007907696728402984,0.6776675799791609,0.014979568168744543,0.014359723770759262,0.007133426208667354,0.019844569382880775,0.06187885607406162,0.01646937603453319,0.8194327093119521,0.0036559781162038463,0.005423442166713571,0.005991375972064934,0.001834421294831761,-0.2,0.25,0.09090909090909091,0.0012311044497517107,0.006390638694710404,-0.0035326693258413886,0.0014976213265920058,0.0
2019-02-27,2792.3798828125,3771790000,-0.0005441974362980739,0.6978304167653515,0.014654358196844137,0.014418650655976237,0.004859485044994516,0.01646281163776838,0.06015809738223784,0.015788295315750926,0.8049379334970709,0.0036823932581265062,0.004278735003248291,0.00596094870121607,0.001674435055635423,-0.4,0.5,0.09090909090909091,-0.0007907696728402984,0.0012311044497517107,0.006390638694710404,0.00177553356074094,0.0
2019-02-28,2784.489990234375,4445780000,-0.002829507598950442,0.788551003179279,0.014040449047707489,0.014343010334322488,0.0008871308718559684,0.011686111763795458,0.05568333180456501,0.012813597368946744,0.7330971357920844,0.0034961736535094458,0.004476731693437448,0.005285782239085291,0.0014404597261859485,-0.6,0.75,0.09090909090909091,-0.0005441974362980739,-0.0007907696728402984,0.0012311044497517107,-0.0035326693258413886,1.0
2019-03-01,2803.68994140625,3994950000,0.006871656588713028,0.8125113477458996,0.01382167761708746,0.014238743790875485,0.005693331786424554,0.016822382705574,0.06088918962134494,0.019660860105044534,0.8375265153043318,0.0036932656069213004,0.004592433411685935,0.005186199238534295,0.0010551645839388267,0.2,1.0,0.18181818181818182,-0.002829507598950442,-0.0005441974362980739,-0.0007907696728402984,0.006390638694710404,0.0
2019-03-04,2792.81005859375,3949730000,-0.003888107395255168,0.7558085820002798,0.01331018575364429,0.014053032183429248,0.0011726288075647347,0.01129430177673162,0.054803450256013846,0.015553757975545682,0.7360312254920135,0.004212650803048315,0.003766442411835531,0.005338600814762548,0.0008884538087325079,-0.2,0.0,0.18181818181818182,0.006871656588713028,-0.002829507598950442,-0.0005441974362980739,0.0012311044497517107,0.0
2019-03-05,2789.64990234375,3631380000,-0.001132173489706859,0.6721327425680328,0.012639612568255335,0.013770348260394465,-0.0003146543493756891,0.008966613879702311,0.051364866202518435,0.014280719103401514,0.6912117866590157,0.004226630661192176,0.0037899468317659085,0.005225557905901104,0.0009495924157757972,-0.4,0.25,0.18181818181818182,-0.003888107395255168,0.006871656588713028,-0.002829507598950442,-0.0007907696728402984,0.0
2019-03-06,2771.449951171875,3800180000,-0.00654547360412503,0.5656071847206425,0.011513051687431624,0.013318888945801898,-0.00636490180952291,0.0017725956169601636,0.042117478881532694,0.00756944885165393,0.5385557241185129,0.005078072228069375,0.004319857089568382,0.005427493157740285,0.000984013920061387,-0.6,0.5,0.18181818181818182,-0.001132173489706859,-0.003888107395255168,0.006871656588713028,-0.0005441974362980739,0.0
2019-03-07,2748.929931640625,3932150000,-0.008158911138331157,0.510282596859756,0.009866148484222764,0.012628340853486072,-0.013521108063396976,-0.00667845757095088,0.031072777537045522,-0.0006830980496852292,0.35106076019959104,0.005915867383501542,0.004893140136854759,0.005743707688640831,0.0009947595453757155,-0.8,0.75,0.18181818181818182,-0.00654547360412503,-0.001132173489706859,-0.003888107395255168,-0.002829507598950442,0.0
2019-03-08,2743.070068359375,3424300000,-0.0021339641314536495,0.3763963539415168,0.008237018440694074,0.011750076370927674,-0.013868723015678703,-0.009458440004125433,0.025858403056219087,-0.0028315646052684733,0.26729240885484556,0.002949750647112265,0.00416217153345594,0.005310123732776457,0.0009966303988353852,-1.0,1.0,0.18181818181818182,-0.008158911138331157,-0.00654547360412503,-0.001132173489706859,0.006871656588713028,1.0
2019-03-11,2783.300048828125,3764850000,0.014559535563489445,0.510557186458843,0.007904268755416527,0.010980914847825445,0.0010549258744202566,0.003702105531692212,0.038452341611632586,0.011684714381797677,0.6057593887078696,0.009012488349853662,0.006636454956546165,0.006150617110805305,0.0009571307190785366,0.2,0.0,0.18181818181818182,-0.0021339641314536495,-0.008158911138331157,-0.00654547360412503,-0.003888107395255168,1.0
2019-03-12,2791.52001953125,3432340000,0.002948965727805163,0.5199486982465711,0.007859151387084793,0.010356562155677315,0.004097306320350281,0.005185241080583084,0.03917206562091781,0.014565171561237095,0.6849506661905607,0.009145374683625453,0.006720531039054289,0.006158267295960407,0.0009103906602267023,0.4,0.25,0.18181818181818182,0.014559535563489445,-0.0021339641314536495,-0.008158911138331157,-0.001132173489706859,1.0
2019-03-13,2810.919921875,3782250000,0.0069255467570192835,0.5998228317171799,0.00824952747773479,0.00993515522008881,0.010401551213377047,0.010966090711549116,0.04386664491205572,0.02146161352022697,0.8950774589667108,0.008656886751872971,0.007069891441378015,0.005713465401699379,0.0008483157210785657,0.6,0.5,0.18181818181818182,0.002948965727805163,0.014559535563489445,-0.0021339641314536495,-0.00654547360412503,0.0
2019-03-14,2808.47998046875,3505670000,-0.0008683993315961826,0.5478599808435916,0.008441946245388611,0.00963651342514877,0.008654702623062688,0.009082345849739012,0.04062925188086522,0.020413382338979883,0.8302959082664234,0.006746928413228883,0.006989024262995011,0.005714136632707322,0.0007893123411785729,-0.2,0.75,0.18181818181818182,0.0069255467570192835,0.002948965727805163,0.014559535563489445,-0.008158911138331157,1.0
